Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,85,601,14.15,436,19.51,546,15.57,4,2.05
1995,87,601,14.47,434,20.03,555,15.67,4,2.11
1996,81,605,13.39,440,18.42,552,14.69,4,1.97
1997,77,609,12.65,446,17.26,556,13.85,4,1.76
1998,70,615,11.38,457,15.32,560,12.51,5,1.55
1999,79,620,12.75,459,17.2,586,13.47,5,1.74
2000,106,628,16.88,465,22.78,611,17.36,5,2.3
2001,89,634,14.04,472,18.85,615,14.48,5,1.89
2002,89,642,13.86,480,18.53,639,13.94,5,1.82
2003,98,648,15.11,481,20.35,656,14.93,5,1.98
2004,101,659,15.32,483,20.93,681,14.83,5,2.02
2005,73,667,10.95,487,15,695,10.5,5,1.45
2006,74,675,10.96,489,15.13,699,10.58,5,1.49
2007,82,680,12.05,495,16.56,706,11.62,5,1.59
2008,62,687,9.02,503,12.32,719,8.63,5,1.27
2009,64,699,9.16,508,12.6,724,8.83,5,1.3
2010,56,714,7.84,515,10.87,741,7.56,5,1.17
2011,72,723,9.95,521,13.81,758,9.5,5,1.57
2012,59,730,8.08,526,11.21,775,7.61,5,1.23
2013,51,735,6.94,529,9.64,786,6.49,5,1.05
