Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1083,4233,25.58,2861,37.86,3215,33.68,49,2.21
1995,1114,4263,26.13,3456,32.23,3591,31.02,51,2.2
1996,1146,4290,26.71,3138,36.52,3443,33.28,51,2.23
1997,1192,4320,27.59,3387,35.19,3708,32.14,53,2.23
1998,1071,4351,24.61,3434,31.19,3903,27.44,55,1.94
1999,1138,4370,26.04,3446,33.02,4006,28.4,56,2.03
2000,996,4452,22.37,3521,28.28,4015,24.81,57,1.76
2001,991,4468,22.18,3560,27.84,4290,23.1,57,1.75
2002,1038,4480,23.17,3578,29.01,4490,23.12,58,1.8
2003,1004,4503,22.29,3598,27.9,4400,22.82,59,1.71
2004,1154,4531,25.47,3613,31.94,4589,25.15,59,1.95
2005,1148,4570,25.12,3637,31.56,4638,24.75,60,1.92
2006,1207,4629,26.07,3665,32.93,4734,25.49,61,1.99
2007,1110,4673,23.75,3692,30.07,4789,23.18,61,1.81
2008,969,4718,20.54,3754,25.82,4857,19.95,59,1.63
2009,848,4758,17.82,3782,22.42,4733,17.92,61,1.38
2010,862,4785,18.02,3806,22.65,4777,18.04,64,1.34
2011,895,4802,18.64,3799,23.56,4812,18.6,65,1.38
2012,865,4818,17.96,3828,22.6,4845,17.85,65,1.33
2013,852,4834,17.63,3859,22.08,4787,17.8,65,1.31
