Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,609,2451,24.85,1768,34.44,1581,38.52,25,2.44
1995,631,2480,25.44,1769,35.67,1630,38.7,27,2.37
1996,615,2505,24.55,1752,35.1,1643,37.43,28,2.21
1997,660,2524,26.15,1879,35.13,1648,40.04,28,2.35
1998,625,2538,24.62,1918,32.58,1775,35.21,28,2.2
1999,604,2551,23.67,1926,31.36,1840,32.83,29,2.07
2000,652,2679,24.34,1948,33.47,1865,34.96,29,2.24
2001,611,2692,22.7,1962,31.14,1893,32.28,29,2.08
2002,640,2706,23.65,1965,32.57,1907,33.56,30,2.13
2003,640,2725,23.49,1998,32.03,1927,33.21,31,2.09
2004,703,2750,25.57,1862,37.75,1961,35.85,32,2.22
2005,654,2781,23.52,2024,32.3,1990,32.87,32,2.05
2006,665,2822,23.57,2035,32.68,2053,32.39,33,2.01
2007,649,2849,22.78,2046,31.72,2074,31.29,33,1.96
2008,600,2875,20.87,2055,29.19,2112,28.41,33,1.81
2009,596,2897,20.57,2065,28.86,2113,28.2,33,1.8
2010,571,2923,19.54,2078,27.48,2149,26.57,34,1.7
2011,551,2939,18.75,1956,28.17,2448,22.51,33,1.67
2012,560,2950,18.98,2199,25.46,2480,22.58,34,1.67
2013,483,2959,16.32,2097,23.03,2418,19.98,33,1.44
