Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,904,4148,21.8,2849,31.73,2881,31.38,39,2.33
1995,1035,4307,24.03,2626,39.41,2942,35.17,40,2.61
1996,994,4432,22.43,2727,36.45,3084,32.23,42,2.36
1997,951,4552,20.89,3120,30.49,3218,29.55,43,2.19
1998,980,4667,21,3198,30.64,2998,32.68,45,2.17
1999,1024,4778,21.43,3297,31.06,3751,27.3,47,2.18
2000,1036,5161,20.08,3434,30.17,3960,26.16,49,2.11
2001,1051,5273,19.93,3550,29.6,4158,25.27,50,2.12
2002,1132,5396,20.98,3668,30.86,4159,27.22,52,2.18
2003,1118,5510,20.29,3819,29.27,3783,29.55,54,2.07
2004,1151,5652,20.36,3784,30.42,3985,28.88,57,2.01
2005,1179,5839,20.19,3943,29.9,4070,28.97,60,1.97
2006,1293,6029,21.45,4033,32.06,4297,30.09,62,2.07
2007,1071,6168,17.36,4154,25.78,4497,23.81,63,1.7
2008,938,6280,14.94,4316,21.74,4508,20.81,62,1.52
2009,806,6343,12.71,4403,18.3,4496,17.93,62,1.31
2010,759,6411,11.84,4444,17.08,4457,17.03,60,1.27
2011,826,6469,12.77,4592,17.99,5109,16.17,60,1.39
2012,821,6551,12.53,4698,17.48,5163,15.9,60,1.37
2013,849,6627,12.81,4791,17.72,5381,15.78,61,1.4
