Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,4232,31317,13.51,20156,21,22881,18.5,272,1.56
1995,4192,31494,13.31,20140,20.81,22964,18.25,276,1.52
1996,3989,31781,12.55,20249,19.7,24917,16.01,278,1.43
1997,3688,32218,11.45,20385,18.09,25399,14.52,279,1.32
1998,3494,32683,10.69,20499,17.04,26004,13.44,291,1.2
1999,3559,33145,10.74,20831,17.09,26782,13.29,300,1.19
2000,3753,33988,11.04,21244,17.67,28146,13.33,307,1.22
2001,3956,34479,11.47,21624,18.29,29268,13.52,311,1.27
2002,4088,34872,11.72,22395,18.25,30154,13.56,322,1.27
2003,4224,35253,11.98,22657,18.64,30810,13.71,324,1.31
2004,4120,35575,11.58,22761,18.1,32026,12.86,329,1.25
2005,4333,35828,12.09,22896,18.92,33163,13.07,329,1.32
2006,4240,36021,11.77,23021,18.42,33908,12.5,327,1.29
2007,3995,36250,11.02,23467,17.02,34703,11.51,328,1.22
2008,3434,36604,9.38,23698,14.49,34241,10.03,327,1.05
2009,3090,36961,8.36,23681,13.05,35209,8.78,324,0.95
2010,2720,37334,7.29,23753,11.45,31774,8.56,323,0.84
2011,2816,37669,7.48,23857,11.8,29177,9.65,321,0.88
2012,2966,38000,7.81,24201,12.26,27702,10.71,326,0.91
2013,3000,38333,7.83,24390,12.3,28075,10.69,330,0.91
