Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,586,3654,16.04,2733,21.44,2846,20.59,34,1.74
1995,645,3738,17.25,2728,23.65,2900,22.24,35,1.84
1996,617,3813,16.18,2757,22.38,3532,17.47,36,1.71
1997,613,3891,15.75,2836,21.61,3618,16.94,38,1.62
1998,628,3969,15.82,2946,21.31,3563,17.62,39,1.6
1999,626,4056,15.43,2991,20.93,3953,15.84,41,1.54
2000,681,4327,15.74,3107,21.92,3724,18.29,42,1.63
2001,741,4426,16.74,3288,22.54,4844,15.3,43,1.73
2002,743,4490,16.55,3166,23.47,2152,34.53,44,1.71
2003,642,4529,14.18,2975,21.58,2035,31.54,43,1.48
2004,667,4575,14.58,3205,20.81,2032,32.83,46,1.45
2005,606,4632,13.08,3341,18.14,1925,31.48,48,1.26
2006,535,4720,11.33,3341,16.01,1925,27.79,49,1.1
2007,554,4804,11.53,3503,15.82,1819,30.46,49,1.14
2008,548,4890,11.21,3606,15.2,1737,31.55,48,1.15
2009,465,4972,9.35,3705,12.55,1524,30.51,46,1.01
2010,450,5048,8.91,3779,11.91,4291,10.49,47,0.96
2011,447,5118,8.73,3670,12.18,4332,10.32,47,0.96
2012,474,5189,9.13,3808,12.45,4562,10.39,47,1.01
2013,481,5268,9.13,3837,12.53,4683,10.27,47,1.02
