Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,310,3268,9.48,2319,13.37,2648,11.71,27,1.14
1995,317,3265,9.71,2349,13.49,2671,11.87,28,1.13
1996,310,3267,9.49,2344,13.23,2669,11.62,28,1.1
1997,339,3269,10.37,2270,14.93,2708,12.52,29,1.19
1998,329,3273,10.05,2349,14,2751,11.96,29,1.12
1999,301,3282,9.17,2374,12.68,2820,10.67,30,1.01
2000,341,3412,9.99,2653,12.86,2907,11.73,31,1.11
2001,318,3433,9.26,2650,12,2969,10.71,31,1.03
2002,325,3459,9.4,2672,12.16,2977,10.92,31,1.04
2003,298,3484,8.55,2660,11.2,3027,9.85,31,0.95
2004,294,3496,8.41,2695,10.91,3106,9.46,32,0.93
2005,278,3507,7.93,2740,10.14,3124,8.9,32,0.88
2006,311,3517,8.84,2805,11.09,3117,9.98,32,0.98
2007,296,3527,8.39,2849,10.39,3112,9.51,32,0.92
2008,302,3546,8.52,2883,10.47,3160,9.56,32,0.95
2009,224,3562,6.29,2916,7.68,3137,7.14,31,0.71
2010,320,3577,8.95,2935,10.9,3148,10.17,31,1.02
2011,221,3589,6.16,2986,7.4,2829,7.81,31,0.71
2012,264,3592,7.35,2486,10.62,2706,9.75,31,0.84
2013,276,3596,7.68,2534,10.89,2856,9.67,31,0.89
