Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,69,565,12.21,362,19.07,250,27.59,3,2
1995,58,551,10.52,339,17.13,244,23.74,3,1.67
1996,62,538,11.52,333,18.59,240,25.86,4,1.59
1997,60,529,11.35,356,16.85,235,25.5,3,1.8
1998,54,521,10.36,350,15.44,230,23.45,3,1.63
1999,41,519,7.9,349,11.75,237,17.3,3,1.18
2000,48,572,8.39,348,13.78,244,19.71,3,1.37
2001,68,575,11.84,328,20.73,250,27.16,4,1.81
2002,47,573,8.2,309,15.19,239,19.66,4,1.33
2003,67,569,11.79,313,21.4,230,29.15,4,1.87
2004,43,568,7.57,349,12.32,240,17.89,4,1.15
2005,48,567,8.46,330,14.53,238,20.13,4,1.29
2006,37,571,6.48,358,10.35,220,16.78,4,1.02
2007,44,574,7.66,396,11.11,219,20.09,4,1.22
2008,34,580,5.86,374,9.1,225,15.09,4,0.94
2009,29,592,4.9,376,7.71,219,13.23,4,0.8
2010,24,605,3.97,385,6.23,213,11.26,4,0.67
2011,27,620,4.36,395,6.83,316,8.54,4,0.76
2012,15,633,2.37,401,3.74,322,4.65,4,0.42
2013,20,646,3.09,406,4.93,333,6.01,4,0.57
