Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,112,708,15.81,513,21.82,587,19.08,7,1.59
1995,121,718,16.85,525,23.05,601,20.13,8,1.61
1996,116,727,15.95,529,21.92,616,18.84,8,1.51
1997,143,735,19.46,536,26.69,624,22.93,8,1.79
1998,115,744,15.46,546,21.07,627,18.35,8,1.4
1999,100,754,13.27,552,18.12,626,15.97,8,1.18
2000,123,786,15.64,557,22.09,641,19.18,8,1.49
2001,136,796,17.09,564,24.11,666,20.43,9,1.58
2002,124,806,15.38,573,21.64,688,18.02,9,1.4
2003,142,818,17.36,585,24.27,702,20.23,9,1.57
2004,134,831,16.13,534,25.1,729,18.39,9,1.44
2005,133,845,15.74,610,21.79,756,17.6,10,1.4
2006,148,859,17.22,620,23.88,836,17.7,9,1.57
2007,117,872,13.42,624,18.74,875,13.38,9,1.23
2008,121,884,13.69,652,18.56,892,13.56,9,1.35
2009,116,892,13.01,700,16.58,869,13.35,9,1.28
2010,101,900,11.22,695,14.53,826,12.23,9,1.13
2011,99,908,10.9,716,13.82,929,10.65,9,1.1
2012,114,917,12.43,720,15.83,944,12.08,9,1.24
2013,99,926,10.69,724,13.68,947,10.45,9,1.06
