Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,2687,13962,19.25,11005,24.42,10429,25.76,122,2.2
1995,2805,14185,19.77,11024,25.44,10560,26.56,128,2.19
1996,2753,14427,19.08,11400,24.15,10971,25.09,130,2.12
1997,2785,14683,18.97,11749,23.7,11084,25.13,134,2.08
1998,2825,14908,18.95,12027,23.49,11498,24.57,138,2.05
1999,2920,15111,19.32,12401,23.55,11625,25.12,142,2.06
2000,2999,16048,18.69,12853,23.33,12036,24.92,151,1.99
2001,3012,16357,18.41,12743,23.64,14646,20.57,171,1.77
2002,3136,16689,18.79,12744,24.61,14309,21.92,178,1.76
2003,3169,17004,18.64,12906,24.55,14919,21.24,186,1.71
2004,3244,17415,18.63,13146,24.68,15519,20.9,196,1.65
2005,3518,17842,19.72,13374,26.31,16208,21.71,202,1.75
2006,3357,18167,18.48,13989,24,16963,19.79,204,1.65
2007,3213,18368,17.49,14139,22.72,17099,18.79,206,1.56
2008,2980,18527,16.08,14034,21.23,17135,17.39,199,1.5
2009,2560,18653,13.72,14005,18.28,15985,16.02,196,1.3
2010,2444,18846,12.97,13950,17.52,14974,16.32,196,1.25
2011,2400,19083,12.58,13882,17.29,15469,15.51,192,1.25
2012,2431,19321,12.58,13897,17.49,15666,15.52,191,1.27
2013,2407,19553,12.31,13670,17.61,15132,15.91,193,1.25
