Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1425,7046,20.22,4817,29.59,6046,23.57,83,1.72
1995,1488,7189,20.7,4840,30.74,6193,24.03,85,1.74
1996,1573,7332,21.45,4966,31.67,6433,24.45,89,1.76
1997,1577,7486,21.07,5063,31.15,6318,24.96,94,1.69
1998,1568,7637,20.53,5316,29.5,6980,22.47,96,1.63
1999,1508,7788,19.36,5471,27.56,7060,21.36,99,1.52
2000,1541,8227,18.73,5550,27.76,7243,21.28,105,1.47
2001,1647,8377,19.66,5834,28.23,7397,22.27,108,1.53
2002,1524,8508,17.91,6013,25.35,7757,19.65,108,1.41
2003,1603,8623,18.59,5758,27.84,7849,20.42,109,1.47
2004,1634,8769,18.63,5793,28.21,8012,20.39,114,1.44
2005,1729,8926,19.37,5940,29.11,8205,21.07,114,1.52
2006,1693,9156,18.49,5907,28.66,8429,20.09,114,1.49
2007,1641,9350,17.55,6134,26.75,8685,18.89,113,1.46
2008,1495,9505,15.73,6257,23.89,8758,17.07,109,1.37
2009,1292,9621,13.43,6315,20.46,8704,14.84,109,1.18
2010,1247,9715,12.84,6508,19.16,7899,15.79,112,1.12
2011,1226,9810,12.5,6506,18.85,7534,16.27,108,1.13
2012,1192,9916,12.02,6582,18.11,7647,15.59,107,1.11
2013,1179,9992,11.8,6607,17.84,7780,15.15,109,1.08
