Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,122,1174,10.39,745,16.37,791,15.42,8,1.54
1995,130,1180,11.01,733,17.75,815,15.94,8,1.64
1996,148,1184,12.5,733,20.18,812,18.23,8,1.84
1997,131,1189,11.01,739,17.73,714,18.34,8,1.65
1998,120,1190,10.08,746,16.08,724,16.57,8,1.5
1999,98,1185,8.27,753,13.02,737,13.29,8,1.21
2000,132,1214,10.88,769,17.16,758,17.42,9,1.55
2001,140,1226,11.42,788,17.77,890,15.73,9,1.61
2002,119,1240,9.6,815,14.61,913,13.03,9,1.34
2003,133,1251,10.63,834,15.94,925,14.37,9,1.43
2004,142,1274,11.15,844,16.83,971,14.63,10,1.46
2005,140,1293,10.83,856,16.35,972,14.4,10,1.39
2006,161,1310,12.29,867,18.56,1040,15.48,10,1.58
2007,138,1316,10.49,863,15.99,1023,13.49,10,1.33
2008,107,1332,8.03,885,12.09,997,10.73,10,1.04
2009,109,1347,8.09,890,12.25,945,11.53,10,1.09
2010,113,1364,8.28,909,12.43,959,11.78,10,1.13
2011,100,1377,7.26,912,10.97,1148,8.71,10,0.99
2012,125,1390,8.99,915,13.66,1232,10.15,10,1.24
2013,102,1404,7.26,915,11.15,1335,7.64,10,1.01
