Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,478,2829,16.89,1897,25.2,2881,16.59,26,1.86
1995,527,2841,18.55,1905,27.66,2926,18.01,26,2.03
1996,465,2848,16.32,1956,23.78,2985,15.58,27,1.73
1997,468,2854,16.4,1953,23.96,2983,15.69,28,1.67
1998,449,2861,15.69,1950,23.02,3182,14.11,29,1.55
1999,490,2869,17.08,1935,25.32,3175,15.43,29,1.68
2000,445,2929,15.19,1953,22.79,3233,13.76,29,1.51
2001,446,2932,15.21,1979,22.54,3456,12.9,30,1.49
2002,405,2934,13.8,1993,20.32,3451,11.74,31,1.31
2003,443,2942,15.06,1978,22.4,3509,12.62,31,1.42
2004,388,2954,13.14,2004,19.36,3509,11.06,32,1.23
2005,450,2964,15.18,2033,22.13,3544,12.7,31,1.45
2006,439,2983,14.72,2041,21.51,3507,12.52,31,1.4
2007,446,2999,14.87,2094,21.3,3522,12.67,31,1.43
2008,412,3017,13.66,1990,20.71,3613,11.4,31,1.34
2009,371,3033,12.23,2145,17.29,3548,10.46,31,1.19
2010,390,3050,12.79,2167,18,3500,11.14,31,1.24
2011,360,3064,11.75,2192,16.43,3497,10.3,31,1.15
2012,365,3075,11.87,2217,16.46,3511,10.4,32,1.16
2013,317,3090,10.26,2144,14.79,3541,8.95,32,1
