Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,250,1135,22.02,801,31.23,1068,23.41,12,2.15
1995,262,1165,22.49,806,32.51,1077,24.34,12,2.13
1996,258,1188,21.72,820,31.47,1090,23.66,13,1.99
1997,259,1211,21.39,844,30.69,1116,23.21,13,2.01
1998,265,1231,21.53,863,30.72,1153,22.98,13,1.97
1999,278,1252,22.21,873,31.85,1170,23.75,14,1.99
2000,276,1299,21.24,884,31.24,1220,22.63,14,2.04
2001,259,1320,19.62,897,28.88,1363,19,14,1.84
2002,264,1340,19.7,907,29.11,1429,18.48,14,1.86
2003,293,1363,21.49,921,31.8,1345,21.78,14,2.05
2004,260,1392,18.68,943,27.57,1394,18.66,15,1.77
2005,275,1428,19.25,978,28.11,1431,19.22,15,1.85
2006,267,1469,18.18,1008,26.49,1326,20.14,15,1.76
2007,252,1505,16.74,1028,24.53,1326,19,16,1.6
2008,232,1534,15.12,1038,22.34,1383,16.78,15,1.52
2009,226,1554,14.54,1055,21.42,1431,15.79,16,1.46
2010,209,1571,13.31,1070,19.54,1378,15.16,16,1.32
2011,167,1584,10.54,1084,15.41,1625,10.28,16,1.05
2012,184,1596,11.53,1093,16.83,1644,11.19,16,1.13
2013,214,1612,13.27,1111,19.25,1692,12.64,16,1.34
