Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1554,11805,13.16,7502,20.71,8886,17.49,92,1.68
1995,1586,11885,13.34,7211,21.99,9157,17.32,94,1.68
1996,1477,11953,12.36,7610,19.41,9031,16.35,96,1.53
1997,1397,12012,11.63,7692,18.16,8625,16.2,99,1.41
1998,1393,12070,11.54,7701,18.09,9511,14.65,101,1.38
1999,1456,12128,12,7925,18.37,9572,15.21,102,1.42
2000,1418,12434,11.4,7961,17.81,9168,15.47,103,1.38
2001,1414,12488,11.32,7810,18.11,10118,13.97,103,1.37
2002,1420,12526,11.34,8033,17.68,9809,14.48,105,1.35
2003,1454,12556,11.58,8054,18.05,9511,15.29,107,1.36
2004,1355,12590,10.76,8058,16.82,9508,14.25,109,1.24
2005,1363,12610,10.81,7871,17.32,9749,13.98,108,1.27
2006,1254,12644,9.92,8071,15.54,10169,12.33,107,1.17
2007,1248,12696,9.83,8190,15.24,10065,12.4,107,1.16
2008,1043,12747,8.18,8261,12.63,10126,10.3,106,0.98
2009,911,12797,7.12,8301,10.97,10240,8.9,106,0.86
2010,927,12840,7.22,8374,11.07,10429,8.89,106,0.88
2011,918,12856,7.14,8374,10.96,10445,8.79,103,0.89
2012,956,12868,7.43,8236,11.61,10132,9.44,105,0.91
2013,991,12882,7.69,8262,12,10193,9.72,105,0.94
