Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,971,5746,16.9,3860,25.15,4986,19.48,61,1.59
1995,960,5792,16.58,3706,25.9,5168,18.57,65,1.49
1996,984,5835,16.86,3704,26.56,5338,18.44,66,1.49
1997,935,5872,15.92,3924,23.83,5444,17.17,69,1.36
1998,982,5908,16.62,3976,24.7,5475,17.94,69,1.42
1999,1020,5943,17.16,3856,26.45,5605,18.2,70,1.46
2000,886,6092,14.54,3976,22.28,5689,15.57,71,1.25
2001,909,6128,14.83,4117,22.08,5752,15.8,72,1.27
2002,792,6156,12.87,4221,18.76,5800,13.65,73,1.09
2003,833,6197,13.44,4536,18.36,5884,14.16,73,1.15
2004,947,6233,15.19,4521,20.95,5678,16.68,73,1.3
2005,938,6279,14.94,4246,22.09,5103,18.38,72,1.31
2006,902,6333,14.24,4246,21.24,5103,17.68,71,1.27
2007,898,6380,14.08,4309,20.84,5103,17.6,73,1.23
2008,820,6425,12.76,5550,14.77,6053,13.55,74,1.11
2009,693,6459,10.73,5550,12.49,6053,11.45,77,0.9
2010,754,6490,11.62,5550,13.58,5903,12.77,76,1
2011,751,6516,11.52,6570,11.43,6133,12.25,76,0.98
2012,781,6538,11.95,5376,14.53,6004,13.01,79,0.99
2013,783,6571,11.92,4500,17.4,5574,14.05,78,1
