Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,442,2569,17.2,1772,24.95,2128,20.77,25,1.79
1995,442,2587,17.09,1771,24.96,2128,20.77,25,1.76
1996,490,2598,18.86,1788,27.4,2170,22.58,26,1.89
1997,482,2616,18.42,1825,26.41,2200,21.91,27,1.82
1998,492,2639,18.65,1851,26.57,2169,22.68,27,1.82
1999,540,2654,20.35,1892,28.53,2274,23.75,28,1.95
2000,461,2694,17.11,1908,24.16,2346,19.65,28,1.64
2001,494,2702,18.28,1871,26.4,2383,20.73,28,1.75
2002,507,2714,18.68,1935,26.2,2390,21.21,28,1.78
2003,469,2723,17.22,1987,23.6,2371,19.78,29,1.64
2004,459,2734,16.79,1980,23.18,2408,19.06,29,1.57
2005,428,2745,15.59,1974,21.68,2435,17.58,30,1.44
2006,468,2763,16.94,2003,23.36,2461,19.01,30,1.55
2007,416,2784,14.94,2018,20.61,2507,16.6,30,1.38
2008,384,2808,13.67,2022,18.99,2533,15.16,30,1.29
2009,386,2833,13.63,2045,18.87,2511,15.37,29,1.31
2010,431,2859,15.08,2033,21.2,2524,17.08,30,1.44
2011,386,2870,13.45,2026,19.06,2446,15.78,30,1.29
2012,405,2885,14.04,2018,20.07,2449,16.54,31,1.32
2013,350,2894,12.09,2018,17.35,2628,13.32,30,1.16
