Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,778,3823,20.35,2516,30.92,2700,28.82,40,1.95
1995,849,3855,22.02,2535,33.49,2664,31.86,41,2.07
1996,842,3881,21.7,2567,32.81,2779,30.3,43,1.98
1997,857,3908,21.93,2575,33.29,2819,30.4,44,1.97
1998,858,3934,21.81,2640,32.5,2885,29.75,45,1.91
1999,814,3961,20.55,2660,30.6,2704,30.1,46,1.75
2000,820,4049,20.25,2694,30.43,2870,28.57,47,1.75
2001,845,4068,20.77,2757,30.65,3672,23.01,46,1.83
2002,915,4090,22.37,2773,33,3649,25.07,47,1.95
2003,928,4117,22.54,2800,33.15,3440,26.98,47,1.99
2004,964,4146,23.25,2823,34.14,3373,28.58,47,2.04
2005,985,4183,23.55,2861,34.43,3484,28.27,47,2.08
2006,913,4219,21.64,2896,31.52,3617,25.24,48,1.91
2007,864,4257,20.3,2933,29.46,3609,23.94,48,1.8
2008,825,4290,19.23,2933,28.13,3669,22.49,48,1.74
2009,791,4317,18.32,2939,26.91,3653,21.65,47,1.67
2010,760,4347,17.48,2950,25.76,3661,20.76,48,1.58
2011,720,4367,16.49,2960,24.33,3763,19.13,48,1.5
2012,746,4380,17.03,2985,24.99,3671,20.32,47,1.58
2013,638,4395,14.52,3019,21.13,4032,15.82,47,1.36
