Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,843,4307,19.58,2595,32.49,3462,24.35,37,2.25
1995,894,4328,20.66,2594,34.47,3322,26.91,39,2.31
1996,902,4339,20.79,2624,34.37,3397,26.55,38,2.37
1997,931,4351,21.4,2678,34.77,3449,26.99,38,2.44
1998,926,4363,21.23,2736,33.84,3470,26.68,40,2.3
1999,938,4372,21.45,2763,33.95,3548,26.44,41,2.28
2000,938,4472,20.98,2759,34,3605,26.02,41,2.3
2001,952,4478,21.26,2718,35.02,3659,26.02,43,2.2
2002,907,4497,20.17,3168,28.63,3714,24.42,43,2.09
2003,940,4521,20.79,3120,30.13,3771,24.93,44,2.13
2004,927,4552,20.36,3170,29.25,3823,24.25,45,2.08
2005,963,4577,21.04,3084,31.23,3874,24.86,45,2.14
2006,987,4303,22.94,3014,32.75,3934,25.09,45,2.17
2007,993,4376,22.69,3034,32.73,3991,24.88,45,2.19
2008,916,4436,20.65,2998,30.55,4048,22.63,45,2.03
2009,824,4492,18.35,3086,26.7,4105,20.08,45,1.84
2010,721,4544,15.87,3134,23.01,4155,17.35,45,1.59
2011,680,4575,14.86,3186,21.34,4053,16.78,47,1.46
2012,723,4602,15.71,2924,24.73,3889,18.59,47,1.54
2013,703,4625,15.2,3278,21.45,3957,17.77,48,1.47
