Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,440,6031,7.3,4472,9.84,4093,10.75,47,0.94
1995,444,6062,7.32,4211,10.54,4576,9.7,48,0.92
1996,417,6085,6.85,4355,9.58,4827,8.64,50,0.83
1997,441,6115,7.21,4393,10.04,5159,8.55,50,0.87
1998,406,6144,6.61,4394,9.24,5259,7.72,52,0.78
1999,414,6175,6.7,4421,9.36,5436,7.62,52,0.8
2000,433,6361,6.81,4490,9.64,5372,8.06,53,0.82
2001,477,6398,7.46,4611,10.35,5313,8.98,53,0.9
2002,459,6417,7.15,4686,9.79,5537,8.29,53,0.86
2003,462,6423,7.19,4646,9.94,5610,8.24,54,0.86
2004,476,6412,7.42,4646,10.25,5593,8.51,55,0.87
2005,441,6403,6.89,4613,9.56,5560,7.93,55,0.8
2006,429,6410,6.69,4712,9.1,5529,7.76,55,0.78
2007,434,6432,6.75,4699,9.24,5511,7.87,55,0.79
2008,364,6469,5.63,4674,7.79,5482,6.64,55,0.67
2009,340,6518,5.22,4630,7.34,5420,6.27,55,0.62
2010,347,6563,5.29,4593,7.56,5493,6.32,54,0.64
2011,374,6606,5.66,4683,7.99,5695,6.57,55,0.68
2012,383,6645,5.76,4734,8.09,4950,7.74,56,0.68
2013,326,6693,4.87,4766,6.84,4985,6.54,56,0.58
