Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,651,4985,13.06,3308,19.68,3679,17.69,44,1.47
1995,671,5024,13.36,3344,20.07,3693,18.17,45,1.5
1996,608,5057,12.02,3377,18,3735,16.28,46,1.32
1997,611,5093,12,3347,18.26,3825,15.97,47,1.31
1998,606,5130,11.81,3178,19.07,3793,15.98,48,1.25
1999,590,5172,11.41,3195,18.47,3942,14.97,49,1.2
2000,588,5311,11.07,3382,17.38,3897,15.09,50,1.17
2001,659,5375,12.26,3452,19.09,3994,16.5,52,1.27
2002,661,5440,12.15,3523,18.76,3941,16.77,54,1.23
2003,650,5496,11.83,3552,18.3,3941,16.49,55,1.19
2004,643,5547,11.59,3594,17.89,4193,15.34,55,1.16
2005,614,5592,10.98,3710,16.55,4398,13.96,56,1.09
2006,652,5627,11.59,3694,17.65,4561,14.3,56,1.16
2007,614,5653,10.86,3738,16.43,4589,13.38,57,1.09
2008,591,5685,10.4,3787,15.61,4605,12.83,55,1.07
2009,549,5730,9.58,3905,14.06,4567,12.02,55,0.99
2010,496,5788,8.57,3918,12.66,4637,10.7,56,0.88
2011,485,5840,8.3,3857,12.58,3906,12.42,56,0.86
2012,511,5885,8.68,4102,12.46,3983,12.83,56,0.9
2013,465,5929,7.84,4140,11.23,3834,12.13,57,0.82
