Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,188,1238,15.19,914,20.58,971,19.35,12,1.51
1995,187,1237,15.11,864,21.63,993,18.84,13,1.49
1996,169,1241,13.61,874,19.34,994,17,13,1.32
1997,192,1245,15.42,901,21.31,1087,17.67,13,1.45
1998,192,1248,15.39,913,21.04,958,20.05,14,1.42
1999,181,1253,14.44,912,19.85,946,19.12,14,1.28
2000,169,1277,13.23,920,18.36,1053,16.05,14,1.19
2001,192,1286,14.93,943,20.37,1050,18.28,14,1.33
2002,216,1296,16.67,949,22.77,999,21.63,15,1.47
2003,207,1307,15.84,932,22.2,1087,19.05,15,1.39
2004,194,1314,14.77,985,19.7,1107,17.53,15,1.3
2005,169,1319,12.81,1004,16.83,1115,15.15,15,1.13
2006,188,1324,14.2,1005,18.7,1117,16.83,15,1.25
2007,183,1327,13.79,1010,18.12,1130,16.2,15,1.22
2008,155,1331,11.65,1006,15.41,1129,13.73,15,1.06
2009,159,1330,11.96,1014,15.69,1111,14.31,14,1.1
2010,161,1328,12.13,1020,15.79,1110,14.51,15,1.11
2011,136,1328,10.24,1015,13.4,1171,11.61,14,0.95
2012,164,1329,12.34,1008,16.27,1180,13.9,14,1.16
2013,145,1328,10.92,1011,14.34,1199,12.09,14,1.03
