Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1421,9584,14.83,6602,21.52,7687,18.49,85,1.67
1995,1530,9660,15.84,6659,22.98,7802,19.61,86,1.79
1996,1505,9739,15.45,6717,22.41,8152,18.46,90,1.67
1997,1446,9785,14.78,6751,21.42,8179,17.68,91,1.58
1998,1366,9820,13.91,6803,20.08,8283,16.49,94,1.46
1999,1382,9864,14.01,6863,20.14,8458,16.34,96,1.44
2000,1382,9952,13.89,6925,19.96,8619,16.03,98,1.41
2001,1328,9991,13.29,6977,19.03,8653,15.35,99,1.34
2002,1277,10016,12.75,7025,18.18,8738,14.61,100,1.28
2003,1283,10041,12.78,7065,18.16,8756,14.65,101,1.27
2004,1159,10055,11.53,7103,16.32,8627,13.43,103,1.12
2005,1129,10051,11.23,7105,15.89,8512,13.26,104,1.09
2006,1086,10036,10.82,7113,15.27,8402,12.93,104,1.04
2007,1087,10001,10.87,7059,15.4,8460,12.85,105,1.04
2008,980,9947,9.85,7118,13.77,8217,11.93,102,0.96
2009,872,9902,8.81,7083,12.31,8181,10.66,97,0.9
2010,942,9878,9.54,7083,13.3,9567,9.85,98,0.97
2011,889,9875,9,7060,12.59,9183,9.68,95,0.94
2012,940,9883,9.51,7019,13.39,7798,12.05,95,0.99
2013,947,9896,9.57,6987,13.55,8192,11.56,95,1
