Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,646,4566,14.15,2706,23.88,4187,15.43,43,1.49
1995,597,4605,12.96,2761,21.62,4000,14.93,44,1.35
1996,576,4648,12.39,2830,20.35,3911,14.73,44,1.3
1997,600,4688,12.8,2839,21.13,4051,14.81,49,1.22
1998,650,4726,13.75,2868,22.66,4306,15.1,50,1.31
1999,626,4776,13.11,2907,21.53,4137,15.13,51,1.22
2000,625,4934,12.67,2941,21.25,4773,13.09,53,1.19
2001,568,4983,11.4,2961,19.18,4706,12.07,53,1.06
2002,657,5019,13.09,2997,21.92,4679,14.04,55,1.2
2003,655,5054,12.96,3036,21.58,4700,13.94,55,1.18
2004,567,5088,11.14,3083,18.39,4782,11.86,57,1
2005,559,5120,10.92,3084,18.13,4848,11.53,57,0.98
2006,494,5164,9.57,3087,16,4921,10.04,57,0.87
2007,510,5207,9.79,3149,16.2,4986,10.23,57,0.89
2008,455,5247,8.67,3190,14.26,5032,9.04,58,0.78
2009,421,5281,7.97,3245,12.97,5047,8.34,57,0.74
2010,411,5311,7.74,3281,12.52,5103,8.05,57,0.73
2011,368,5347,6.88,3306,11.13,4910,7.5,57,0.65
2012,395,5380,7.34,3322,11.89,5099,7.75,57,0.69
2013,387,5420,7.14,3331,11.62,5219,7.41,57,0.68
