Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1089,5281,20.62,3382,32.2,4265,25.54,57,1.9
1995,1109,5325,20.83,3587,30.92,4310,25.73,59,1.87
1996,1148,5368,21.39,3749,30.62,4442,25.85,61,1.88
1997,1192,5407,22.05,3744,31.83,4406,27.05,63,1.89
1998,1169,5438,21.5,3798,30.78,4431,26.38,65,1.81
1999,1094,5468,20.01,3840,28.49,4462,24.52,67,1.64
2000,1157,5607,20.63,3856,30,4641,24.93,67,1.72
2001,1098,5641,19.46,3862,28.43,4272,25.7,68,1.62
2002,1208,5675,21.29,3931,30.73,4299,28.1,68,1.77
2003,1232,5709,21.58,3966,31.07,4534,27.17,68,1.81
2004,1130,5748,19.66,4048,27.92,4890,23.11,69,1.64
2005,1257,5790,21.71,4135,30.4,4671,26.91,69,1.83
2006,1096,5843,18.76,4140,26.48,5043,21.73,69,1.59
2007,992,5888,16.85,4162,23.83,5009,19.8,69,1.43
2008,960,5924,16.21,4197,22.88,4965,19.34,68,1.41
2009,878,5961,14.73,4218,20.82,5008,17.53,69,1.27
2010,821,5996,13.69,4246,19.33,5263,15.6,71,1.16
2011,786,6010,13.08,4277,18.38,5170,15.2,69,1.14
2012,826,6025,13.71,4288,19.26,5685,14.53,69,1.19
2013,757,6044,12.52,4280,17.69,5821,13.01,69,1.09
