Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,791,2663,29.7,1672,47.32,2091,37.82,29,2.77
1995,868,2691,32.26,1693,51.27,2173,39.94,30,2.94
1996,811,2710,29.93,1700,47.7,2215,36.61,31,2.65
1997,861,2732,31.52,1723,49.99,2265,38.02,32,2.73
1998,948,2751,34.46,1758,53.92,2287,41.45,34,2.77
1999,927,2769,33.48,1788,51.84,2349,39.46,35,2.66
2000,949,2848,33.32,2008,47.27,2321,40.88,36,2.67
2001,784,2853,27.48,1859,42.16,1981,39.58,36,2.18
2002,885,2859,30.96,1861,47.54,1982,44.66,36,2.43
2003,872,2868,30.4,1886,46.24,1978,44.09,37,2.33
2004,900,2889,31.15,1896,47.47,1992,45.19,39,2.28
2005,931,2906,32.04,1965,47.37,2005,46.42,40,2.32
2006,911,2905,31.36,1930,47.21,2025,44.98,41,2.2
2007,884,2928,30.19,1927,45.88,2036,43.43,43,2.04
2008,783,2948,26.56,1936,40.45,2063,37.95,44,1.79
2009,700,2959,23.66,1931,36.26,2054,34.08,40,1.73
2010,641,2969,21.59,1928,33.24,2044,31.36,40,1.61
2011,630,2978,21.16,1927,32.7,2037,30.94,39,1.62
2012,582,2986,19.49,1958,29.72,2052,28.36,39,1.51
2013,613,2991,20.49,1969,31.13,2074,29.56,39,1.58
