Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,202,855,23.63,526,38.42,971,20.81,9,2.22
1995,215,869,24.75,574,37.47,989,21.73,9,2.28
1996,200,877,22.81,574,34.86,995,20.1,9,2.12
1997,265,879,30.16,662,40,1001,26.47,9,2.82
1998,237,880,26.95,647,36.66,1010,23.47,10,2.47
1999,220,883,24.92,660,33.33,1020,21.57,10,2.24
2000,237,904,26.22,679,34.91,1053,22.51,10,2.4
2001,230,907,25.36,683,33.66,1060,21.71,10,2.3
2002,269,912,29.51,695,38.72,1086,24.77,10,2.59
2003,262,920,28.49,705,37.19,1077,24.34,11,2.41
2004,229,930,24.62,713,32.12,1057,21.67,11,2.04
2005,251,940,26.7,716,35.08,1057,23.75,11,2.26
2006,264,953,27.71,724,36.47,1152,22.91,11,2.34
2007,277,965,28.71,736,37.65,969,28.59,11,2.45
2008,229,976,23.45,739,30.99,1039,22.03,11,2.12
2009,221,984,22.46,738,29.95,1051,21.03,11,2.01
2010,189,991,19.08,744,25.42,1052,17.97,11,1.69
2011,209,998,20.95,752,27.77,1219,17.14,12,1.79
2012,205,1005,20.39,758,27.05,1489,13.77,12,1.72
2013,229,1015,22.56,767,29.87,1540,14.87,12,1.9
