Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1431,7061,20.27,4840,29.57,5507,25.99,72,1.99
1995,1448,7185,20.15,5028,28.8,5749,25.18,76,1.9
1996,1494,7308,20.44,5187,28.8,5887,25.38,79,1.89
1997,1483,7429,19.96,5399,27.47,5856,25.33,82,1.81
1998,1596,7546,21.15,5534,28.84,5937,26.88,85,1.87
1999,1505,7651,19.67,5491,27.41,5769,26.09,88,1.71
2000,1557,8082,19.27,5690,27.36,6305,24.69,90,1.74
2001,1530,8210,18.64,5885,26,6267,24.42,92,1.67
2002,1576,8326,18.93,5943,26.52,6241,25.25,93,1.7
2003,1553,8423,18.44,6015,25.82,6214,24.99,94,1.66
2004,1573,8553,18.39,6122,25.69,6299,24.97,96,1.64
2005,1547,8705,17.77,6228,24.84,6254,24.74,101,1.53
2006,1554,8917,17.43,6316,24.61,6412,24.24,102,1.53
2007,1676,9118,18.38,6384,26.26,6433,26.05,104,1.62
2008,1428,9309,15.34,6457,22.12,6371,22.41,102,1.4
2009,1313,9450,13.89,6504,20.19,6175,21.26,103,1.28
2010,1320,9559,13.81,6537,20.19,5877,22.46,102,1.29
2011,1230,9651,12.74,6569,18.72,6250,19.68,104,1.19
2012,1299,9748,13.33,6678,19.45,7793,16.67,105,1.24
2013,1289,9848,13.09,6823,18.89,7814,16.5,105,1.23
