Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,88,640,13.76,439,20.03,702,12.53,6,1.39
1995,74,642,11.53,449,16.49,712,10.4,7,1.13
1996,85,643,13.22,449,18.92,711,11.95,7,1.26
1997,105,641,16.38,452,23.22,711,14.76,7,1.47
1998,92,638,14.42,455,20.22,688,13.37,7,1.25
1999,119,634,18.78,458,25.99,721,16.51,7,1.64
2000,86,642,13.4,459,18.74,711,12.1,7,1.19
2001,105,639,16.43,456,23.03,726,14.47,7,1.45
2002,97,638,15.2,461,21.04,716,13.54,7,1.32
2003,105,639,16.44,460,22.84,713,14.72,7,1.41
2004,100,645,15.51,462,21.66,722,13.85,8,1.32
2005,123,646,19.04,467,26.36,718,17.12,8,1.62
2006,111,649,17.09,469,23.68,738,15.05,8,1.41
2007,111,653,17,471,23.58,738,15.04,8,1.42
2008,104,658,15.82,473,21.99,748,13.9,8,1.33
2009,140,665,21.05,477,29.38,754,18.56,8,1.72
2010,105,674,15.57,483,21.73,769,13.65,8,1.27
2011,148,685,21.61,490,30.2,786,18.83,9,1.62
2012,170,701,24.24,503,33.81,810,20.98,10,1.69
2013,148,723,20.46,514,28.8,845,17.51,10,1.47
