Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,271,1622,16.71,1146,23.64,1478,18.33,15,1.75
1995,254,1635,15.53,1152,22.05,1486,17.1,16,1.61
1996,293,1648,17.78,1160,25.26,1506,19.45,16,1.8
1997,302,1656,18.24,1179,25.62,1525,19.8,17,1.77
1998,315,1661,18.97,1186,26.56,1545,20.39,18,1.79
1999,295,1666,17.71,1203,24.53,1589,18.56,18,1.64
2000,276,1714,16.1,1195,23.09,1640,16.83,18,1.53
2001,246,1720,14.3,1267,19.41,1657,14.85,18,1.36
2002,307,1728,17.76,1275,24.07,1681,18.26,19,1.64
2003,293,1739,16.85,1311,22.34,1704,17.19,19,1.54
2004,254,1749,14.52,1316,19.3,1718,14.79,19,1.32
2005,276,1761,15.67,1321,20.9,1734,15.91,19,1.43
2006,269,1773,15.17,1328,20.26,1770,15.2,19,1.39
2007,256,1783,14.35,1331,19.24,1780,14.39,19,1.32
2008,208,1796,11.58,1346,15.45,1800,11.55,19,1.09
2009,223,1813,12.3,1349,16.53,1844,12.1,19,1.15
2010,190,1830,10.38,1352,14.06,1854,10.25,19,0.98
2011,181,1842,9.83,1356,13.34,1887,9.59,19,0.95
2012,212,1855,11.43,1364,15.55,1888,11.23,19,1.1
2013,211,1869,11.29,1375,15.35,1891,11.16,19,1.09
