Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,119,1133,10.5,877,13.56,1025,11.61,11,1.13
1995,118,1146,10.3,901,13.1,1171,10.07,11,1.11
1996,134,1161,11.54,915,14.64,1183,11.33,11,1.22
1997,125,1173,10.65,883,14.16,1175,10.64,11,1.12
1998,128,1186,10.79,907,14.11,1085,11.8,12,1.11
1999,140,1201,11.66,919,15.24,1099,12.74,12,1.18
2000,126,1240,10.16,930,13.55,1100,11.45,12,1.05
2001,142,1256,11.31,942,15.08,1153,12.32,12,1.15
2002,127,1269,10.01,955,13.3,1201,10.58,13,1.01
2003,127,1280,9.92,968,13.12,1205,10.54,13,0.98
2004,171,1290,13.25,986,17.35,1245,13.74,14,1.26
2005,166,1298,12.78,998,16.63,1243,13.35,13,1.24
2006,127,1308,9.71,1028,12.36,1131,11.23,14,0.93
2007,129,1313,9.83,1027,12.57,1260,10.23,13,0.96
2008,138,1316,10.49,1031,13.38,1295,10.66,13,1.06
2009,110,1316,8.36,1034,10.63,1293,8.51,13,0.85
2010,128,1317,9.72,1037,12.34,1283,9.98,13,0.98
2011,90,1318,6.83,1057,8.52,1278,7.04,13,0.71
2012,108,1322,8.17,1065,10.14,1302,8.29,13,0.84
2013,135,1323,10.2,1061,12.72,1409,9.58,13,1.05
