Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,761,7919,9.61,5433,14.01,5926,12.84,60,1.26
1995,774,7966,9.72,5404,14.32,5995,12.91,61,1.27
1996,814,8010,10.16,5486,14.84,5965,13.65,62,1.31
1997,775,8054,9.62,5576,13.9,5911,13.11,63,1.23
1998,741,8096,9.15,5563,13.32,5881,12.6,65,1.15
1999,726,8143,8.92,5551,13.08,6208,11.69,66,1.11
2000,731,8431,8.67,5655,12.93,6502,11.24,67,1.08
2001,745,8493,8.77,5715,13.04,6706,11.11,69,1.08
2002,771,8553,9.01,5712,13.5,6822,11.3,70,1.1
2003,733,8601,8.52,5729,12.79,6852,10.7,70,1.05
2004,723,8635,8.37,5800,12.47,6374,11.34,73,0.99
2005,747,8652,8.63,5871,12.72,6420,11.63,74,1.01
2006,771,8662,8.9,5834,13.22,6122,12.59,75,1.02
2007,724,8678,8.34,5782,12.52,6411,11.29,76,0.95
2008,590,8711,6.77,5782,10.2,6411,9.2,74,0.8
2009,584,8756,6.67,5924,9.86,6272,9.31,73,0.8
2010,556,8803,6.32,5953,9.34,6956,7.99,73,0.76
2011,627,8837,7.1,5977,10.49,7940,7.9,73,0.86
2012,589,8868,6.64,6040,9.75,7911,7.44,74,0.79
2013,542,8899,6.09,6081,8.91,7061,7.68,75,0.73
