Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,447,1653,27.04,1167,38.29,1453,30.76,20,2.18
1995,485,1682,28.83,1173,41.33,1515,32.02,21,2.29
1996,485,1706,28.43,1179,41.13,1528,31.74,22,2.25
1997,484,1723,28.09,1194,40.53,1546,31.31,22,2.21
1998,424,1734,24.46,1204,35.22,1627,26.06,22,1.91
1999,460,1740,26.44,1222,37.65,1607,28.62,22,2.05
2000,432,1821,23.72,1239,34.87,1557,27.74,23,1.9
2001,464,1832,25.33,1232,37.67,1457,31.85,23,2
2002,449,1855,24.2,1244,36.1,1573,28.55,23,1.97
2003,439,1878,23.38,1236,35.5,1542,28.47,23,1.92
2004,521,1904,27.37,1271,40.98,1579,32.99,24,2.18
2005,488,1932,25.26,1305,37.4,1586,30.77,24,2.04
2006,484,1962,24.67,1338,36.17,1624,29.8,26,1.88
2007,413,1990,20.75,1365,30.25,1646,25.09,27,1.54
2008,366,2011,18.2,1365,26.81,1617,22.64,26,1.39
2009,361,2037,17.72,1378,26.2,1675,21.56,26,1.39
2010,349,2065,16.9,1406,24.82,1666,20.95,25,1.38
2011,350,2078,16.84,1419,24.67,1772,19.75,26,1.36
2012,366,2084,17.57,1430,25.59,1806,20.27,26,1.43
2013,310,2085,14.87,1457,21.28,1882,16.47,25,1.24
