Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,294,1456,20.19,1007,29.19,1005,29.26,13,2.26
1995,313,1526,20.51,1045,29.96,1069,29.28,14,2.24
1996,348,1596,21.8,1117,31.16,1092,31.87,16,2.18
1997,347,1676,20.71,1186,29.26,1169,29.67,16,2.13
1998,361,1744,20.7,1246,28.97,1245,29,16,2.19
1999,350,1809,19.35,1322,26.47,1186,29.51,17,2.01
2000,323,2019,16,1371,23.57,1245,25.95,18,1.83
2001,314,2098,14.96,1421,22.1,1312,23.93,18,1.72
2002,381,2174,17.53,1461,26.08,1289,29.56,18,2.12
2003,368,2249,16.36,1488,24.73,1259,29.23,19,1.91
2004,395,2346,16.84,1548,25.52,1326,29.78,20,1.95
2005,427,2432,17.56,1596,26.75,1400,30.5,21,2.06
2006,431,2523,17.09,1626,26.51,1424,30.28,22,1.97
2007,373,2601,14.34,1662,22.45,1486,25.11,22,1.68
2008,324,2654,12.21,1679,19.3,1482,21.86,21,1.56
2009,243,2685,9.05,1690,14.38,1466,16.57,20,1.19
2010,257,2704,9.51,1691,15.2,1428,17.99,22,1.16
2011,246,2718,9.05,1701,14.46,2152,11.43,24,1.02
2012,261,2754,9.48,1728,15.1,2130,12.25,24,1.08
2013,262,2790,9.39,1756,14.92,2203,11.89,25,1.06
