Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1678,18157,9.24,10377,16.17,10371,16.18,113,1.49
1995,1679,18151,9.25,10474,16.03,10444,16.08,115,1.46
1996,1593,18144,8.78,10484,15.2,10872,14.65,119,1.34
1997,1652,18143,9.11,10530,15.69,11009,15.01,121,1.37
1998,1514,18159,8.34,10554,14.35,10561,14.34,123,1.23
1999,1599,18197,8.79,10627,15.05,10900,14.67,126,1.26
2000,1460,19002,7.68,10871,13.43,10342,14.12,129,1.13
2001,1564,19083,8.2,11015,14.2,10315,15.16,131,1.2
2002,1530,19138,7.99,10914,14.02,10598,14.44,133,1.15
2003,1493,19176,7.79,11357,13.15,10952,13.63,135,1.11
2004,1495,19172,7.8,11247,13.29,11269,13.27,138,1.08
2005,1434,19133,7.5,11072,12.95,12053,11.9,139,1.03
2006,1454,19105,7.61,11146,13.04,11487,12.66,141,1.03
2007,1332,19132,6.96,11369,11.72,11811,11.28,137,0.97
2008,1238,19212,6.44,11285,10.97,11429,10.83,134,0.92
2009,1158,19307,6,11329,10.22,11591,9.99,133,0.87
2010,1201,19399,6.19,11286,10.64,10603,11.33,131,0.92
2011,1171,19503,6,11211,10.45,10431,11.23,128,0.92
2012,1180,19576,6.03,11249,10.49,10449,11.29,128,0.92
2013,1199,19651,6.1,11211,10.7,10674,11.23,130,0.92
