Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1370,11111,12.33,7142,19.18,9888,13.86,98,1.4
1995,1360,11155,12.19,7773,17.5,10029,13.56,101,1.35
1996,1391,11187,12.43,7853,17.71,10114,13.75,103,1.35
1997,1441,11212,12.85,8186,17.6,10328,13.95,104,1.39
1998,1422,11238,12.65,7941,17.91,10269,13.85,105,1.36
1999,1430,11257,12.7,8046,17.77,10476,13.65,106,1.36
2000,1366,11364,12.02,8206,16.65,10722,12.74,106,1.29
2001,1378,11387,12.1,7736,17.81,10824,12.73,107,1.29
2002,1418,11408,12.43,7708,18.4,10741,13.2,108,1.31
2003,1274,11435,11.14,7656,16.64,10823,11.77,109,1.17
2004,1286,11452,11.23,7675,16.76,10935,11.76,112,1.15
2005,1321,11463,11.52,7708,17.14,10943,12.07,110,1.2
2006,1238,11481,10.78,7739,16,11161,11.09,111,1.11
2007,1255,11500,10.91,7976,15.74,11195,11.21,111,1.13
2008,1191,11515,10.34,7962,14.96,11304,10.54,108,1.1
2009,1022,11529,8.86,7937,12.88,11410,8.96,111,0.92
2010,1080,11538,9.36,7963,13.56,10185,10.6,112,0.97
2011,1017,11550,8.81,7982,12.74,10217,9.95,112,0.91
2012,1121,11553,9.7,8006,14,10116,11.08,113,0.99
2013,989,11571,8.55,8030,12.32,10360,9.55,113,0.88
