Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,687,3246,21.16,2344,29.31,2862,24.01,36,1.93
1995,669,3266,20.49,2156,31.04,2912,22.98,38,1.74
1996,772,3290,23.47,2396,32.22,3144,24.56,39,1.96
1997,838,3314,25.28,2279,36.77,2936,28.54,41,2.02
1998,755,3339,22.61,2305,32.75,2973,25.4,42,1.8
1999,741,3358,22.07,2313,32.04,2985,24.83,43,1.74
2000,650,3454,18.82,2295,28.32,3072,21.16,43,1.5
2001,682,3467,19.67,2172,31.39,3359,20.31,44,1.57
2002,739,3489,21.18,2324,31.79,3138,23.55,46,1.62
2003,671,3505,19.14,2348,28.57,3146,21.33,46,1.47
2004,774,3525,21.96,2370,32.66,3236,23.92,46,1.67
2005,803,3549,22.63,2234,35.94,3808,21.09,47,1.71
2006,765,3594,21.28,2264,33.79,3296,23.21,49,1.57
2007,766,3634,21.08,2283,33.55,3326,23.03,48,1.61
2008,750,3669,20.44,2302,32.58,3408,22.01,48,1.55
2009,737,3718,19.82,2321,31.75,3521,20.93,47,1.57
2010,668,3759,17.77,2349,28.44,3483,19.18,48,1.4
2011,696,3786,18.39,2371,29.36,3429,20.3,47,1.47
2012,709,3816,18.58,2400,29.54,3440,20.61,48,1.48
2013,678,3851,17.61,2418,28.04,3460,19.6,48,1.41
