Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,494,3087,16,2543,19.43,2814,17.56,29,1.68
1995,574,3141,18.27,2542,22.58,2846,20.17,30,1.91
1996,526,3195,16.46,2613,20.13,2877,18.28,30,1.73
1997,524,3243,16.16,2277,23.02,2954,17.74,32,1.62
1998,538,3282,16.39,2417,22.26,3045,17.67,33,1.61
1999,414,3316,12.48,2462,16.82,3080,13.44,35,1.19
2000,451,3430,13.15,2495,18.08,3091,14.59,34,1.33
2001,488,3468,14.07,2534,19.25,3112,15.68,34,1.42
2002,436,3513,12.41,2564,17.01,3144,13.87,35,1.26
2003,512,3547,14.43,2590,19.77,3136,16.33,35,1.46
2004,456,3569,12.78,2626,17.37,3079,14.81,36,1.28
2005,487,3613,13.48,2693,18.08,2970,16.4,35,1.38
2006,478,3671,13.02,2767,17.27,3066,15.59,35,1.35
2007,455,3722,12.22,2827,16.09,3185,14.29,35,1.31
2008,416,3769,11.04,2856,14.57,3209,12.96,33,1.24
2009,377,3809,9.9,2842,13.27,3151,11.96,34,1.11
2010,317,3838,8.26,2770,11.45,3158,10.04,34,0.94
2011,331,3868,8.56,2774,11.93,3128,10.58,33,0.99
2012,337,3900,8.64,2770,12.17,3527,9.55,33,1.02
2013,313,3930,7.96,2773,11.29,3604,8.69,34,0.93
