Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1441,12043,11.97,8115,17.76,8651,16.66,92,1.56
1995,1480,12045,12.29,8154,18.15,8652,17.11,95,1.57
1996,1469,12038,12.2,8221,17.87,8817,16.66,97,1.52
1997,1557,12016,12.96,8318,18.72,9008,17.28,98,1.59
1998,1481,12002,12.34,8405,17.62,9170,16.15,100,1.48
1999,1549,11994,12.91,8478,18.27,9209,16.82,102,1.52
2000,1520,12284,12.37,8229,18.47,9476,16.04,102,1.49
2001,1532,12299,12.46,8226,18.62,9869,15.52,103,1.49
2002,1614,12331,13.09,8324,19.39,9775,16.51,105,1.54
2003,1577,12375,12.74,8370,18.84,9993,15.78,106,1.48
2004,1490,12411,12.01,8430,17.67,10113,14.73,108,1.38
2005,1616,12450,12.98,8461,19.1,10170,15.89,108,1.5
2006,1525,12511,12.19,8526,17.89,10225,14.91,108,1.41
2007,1491,12564,11.87,8601,17.34,10292,14.49,109,1.37
2008,1468,12612,11.64,8646,16.98,10765,13.64,108,1.36
2009,1256,12667,9.92,8687,14.46,10267,12.23,103,1.22
2010,1324,12711,10.42,8737,15.15,10403,12.73,100,1.32
2011,1286,12741,10.09,8797,14.62,10303,12.48,99,1.3
2012,1310,12764,10.26,8843,14.81,10471,12.51,99,1.32
2013,1208,12774,9.46,8897,13.58,10461,11.55,99,1.22
