Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,63,993,6.34,688,9.15,716,8.8,7,0.89
1995,69,989,6.98,670,10.29,716,9.63,7,1
1996,69,988,6.98,669,10.31,717,9.63,7,0.97
1997,75,987,7.6,680,11.03,727,10.31,7,1.06
1998,74,988,7.49,682,10.85,733,10.1,8,0.93
1999,88,991,8.88,689,12.78,766,11.48,8,1.06
2000,80,1050,7.62,654,12.23,779,10.27,8,0.96
2001,81,1057,7.66,660,12.26,786,10.31,8,1.01
2002,84,1066,7.88,721,11.66,799,10.52,8,1.03
2003,104,1071,9.71,731,14.22,830,12.53,8,1.24
2004,83,1075,7.72,742,11.19,835,9.95,8,0.98
2005,87,1068,8.15,746,11.65,840,10.35,8,1.05
2006,81,1063,7.62,742,10.92,837,9.68,8,0.98
2007,69,1057,6.53,744,9.28,828,8.33,9,0.8
2008,65,1055,6.16,748,8.69,826,7.86,8,0.79
2009,83,1054,7.88,746,11.13,823,10.09,8,1.01
2010,67,1053,6.36,748,8.96,816,8.21,8,0.81
2011,66,1050,6.28,750,8.8,919,7.18,8,0.84
2012,64,1050,6.09,750,8.54,854,7.49,8,0.82
2013,65,1052,6.18,749,8.68,853,7.62,8,0.84
