Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,154,723,21.3,508,30.31,795,19.37,8,2.02
1995,158,728,21.7,516,30.63,734,21.53,8,2.06
1996,175,731,23.95,519,33.75,738,23.72,8,2.24
1997,148,731,20.25,524,28.23,743,19.92,8,1.86
1998,165,731,22.58,535,30.82,794,20.79,8,2.04
1999,150,733,20.46,544,27.6,808,18.57,8,1.82
2000,173,756,22.89,544,31.81,822,21.05,8,2.05
2001,171,758,22.56,545,31.38,835,20.48,9,2
2002,180,760,23.68,546,32.94,848,21.23,8,2.12
2003,203,764,26.58,555,36.61,864,23.48,9,2.38
2004,197,770,25.57,563,34.97,883,22.32,9,2.24
2005,186,775,23.98,566,32.85,900,20.67,8,2.22
2006,191,783,24.39,583,32.79,897,21.28,9,2.08
2007,146,792,18.44,589,24.81,923,15.81,9,1.62
2008,121,799,15.14,597,20.26,966,12.53,9,1.35
2009,131,807,16.23,602,21.75,989,13.25,9,1.48
2010,140,816,17.15,602,23.25,991,14.12,9,1.58
2011,111,824,13.47,603,18.4,995,11.15,9,1.23
2012,133,834,15.95,607,21.92,1004,13.25,9,1.46
2013,135,845,15.98,604,22.36,1015,13.3,9,1.48
