Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,1214,5163,23.51,3826,31.73,5116,23.73,55,2.23
1995,1259,5241,24.02,3739,33.67,5470,23.01,56,2.24
1996,1239,5314,23.32,3806,32.56,4963,24.96,58,2.12
1997,1225,5378,22.78,3929,31.18,4591,26.68,61,2.02
1998,1216,5433,22.38,4073,29.86,4529,26.85,63,1.94
1999,1302,5484,23.74,4176,31.18,4490,29,65,2.01
2000,1307,5704,22.91,4251,30.74,4891,26.72,66,1.99
2001,1251,5751,21.75,4188,29.87,5223,23.95,68,1.85
2002,1177,5796,20.31,4206,27.98,4861,24.21,68,1.73
2003,1193,5848,20.4,4204,28.38,4889,24.4,69,1.73
2004,1339,5911,22.65,4248,31.52,5143,26.03,71,1.89
2005,1270,5991,21.2,4352,29.18,5102,24.89,71,1.79
2006,1284,6089,21.09,4388,29.26,5225,24.57,71,1.82
2007,1211,6176,19.61,4426,27.36,5484,22.08,71,1.7
2008,1043,6247,16.69,4451,23.43,5250,19.87,69,1.5
2009,986,6306,15.64,4477,22.03,5302,18.6,70,1.4
2010,1032,6357,16.23,4418,23.36,5277,19.56,70,1.47
2011,937,6398,14.64,4544,20.62,5302,17.67,71,1.32
2012,1015,6455,15.72,4574,22.19,5393,18.82,71,1.43
2013,995,6496,15.32,4605,21.61,5452,18.25,71,1.4
