Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,3187,18338,17.38,12110,26.32,13769,23.15,178,1.79
1995,3183,18680,17.04,12369,25.73,13812,23.05,181,1.76
1996,3742,19006,19.69,12568,29.77,13859,27,185,2.02
1997,3513,19355,18.15,12834,27.37,13057,26.91,199,1.77
1998,3586,19712,18.19,13323,26.92,13473,26.62,206,1.74
1999,3522,20044,17.57,13359,26.36,14238,24.74,211,1.67
2000,3779,20944,18.04,13462,28.07,14257,26.51,220,1.72
2001,3736,21320,17.52,13046,28.64,14572,25.64,216,1.73
2002,3823,21690,17.63,13185,29,14899,25.66,221,1.73
2003,3821,22031,17.34,13498,28.31,15150,25.22,223,1.71
2004,3699,22394,16.52,14544,25.43,17194,21.51,231,1.6
2005,3536,22778,15.52,14659,24.12,17801,19.86,235,1.5
2006,3531,23360,15.12,14907,23.69,17894,19.73,238,1.48
2007,3466,23832,14.54,15184,22.83,18460,18.78,243,1.42
2008,3476,24309,14.3,15374,22.61,18647,18.64,235,1.48
2009,3104,24802,12.52,15374,20.19,18647,16.65,230,1.35
2010,3023,25243,11.98,15158,19.94,17625,17.15,234,1.29
2011,3054,25641,11.91,15123,20.2,19617,15.57,237,1.29
2012,3408,26061,13.08,15252,22.34,20238,16.84,238,1.43
2013,3382,26448,12.79,15447,21.89,20171,16.77,245,1.38
