Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,343,1930,17.77,1245,27.55,1438,23.86,18,1.9
1995,325,1977,16.44,1255,25.89,1469,22.12,19,1.73
1996,321,2022,15.87,1319,24.33,1502,21.37,20,1.64
1997,366,2065,17.72,1357,26.97,1553,23.57,20,1.79
1998,350,2101,16.66,1393,25.12,1557,22.48,21,1.65
1999,360,2130,16.9,1440,25.01,1602,22.47,22,1.63
2000,373,2245,16.62,1463,25.49,1656,22.53,23,1.65
2001,291,2284,12.74,1496,19.45,1791,16.25,23,1.24
2002,328,2325,14.11,1530,21.44,1889,17.37,25,1.34
2003,309,2360,13.09,1548,19.96,2045,15.11,24,1.29
2004,296,2402,12.33,1583,18.7,2129,13.9,25,1.2
2005,282,2458,11.47,1600,17.63,2258,12.49,25,1.12
2006,287,2526,11.36,1619,17.73,2287,12.55,26,1.11
2007,299,2598,11.51,1652,18.1,2375,12.59,27,1.11
2008,276,2663,10.36,1687,16.36,2497,11.05,26,1.06
2009,244,2723,8.96,1720,14.19,2514,9.71,26,0.93
2010,253,2775,9.12,1660,15.24,2714,9.32,27,0.95
2011,243,2815,8.63,1747,13.91,1883,12.9,26,0.93
2012,217,2855,7.6,1789,12.13,1981,10.95,27,0.82
2013,220,2901,7.58,1661,13.24,2061,10.68,27,0.81
