Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,930,6537,14.23,4601,20.21,5565,16.71,68,1.38
1995,900,6601,13.63,4629,19.44,5671,15.87,70,1.29
1996,877,6665,13.16,4692,18.69,5687,15.42,71,1.23
1997,984,6733,14.61,4901,20.08,5765,17.07,70,1.4
1998,935,6789,13.77,4668,20.03,5876,15.91,73,1.29
1999,878,6873,12.77,4729,18.56,5929,14.81,74,1.19
2000,929,7106,13.07,4837,19.21,6107,15.21,75,1.24
2001,935,7198,12.99,4921,19,6236,14.99,74,1.27
2002,914,7287,12.54,5158,17.72,6343,14.41,77,1.18
2003,943,7367,12.8,5046,18.69,6420,14.69,77,1.23
2004,922,7476,12.33,5113,18.03,6573,14.03,79,1.17
2005,947,7577,12.5,5178,18.29,6669,14.2,80,1.18
2006,962,7674,12.54,5211,18.46,6717,14.32,81,1.19
2007,1027,7751,13.25,5260,19.53,6694,15.34,82,1.25
2008,825,7833,10.53,5301,15.56,6609,12.48,82,1
2009,758,7926,9.56,5348,14.17,6381,11.88,81,0.94
2010,740,8025,9.22,5402,13.7,6223,11.89,82,0.9
2011,764,8106,9.43,5467,13.97,6998,10.92,81,0.94
2012,776,8187,9.48,5538,14.01,7117,10.9,81,0.96
2013,740,8260,8.96,5603,13.21,7051,10.49,81,0.92
