Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,640,5335,12,3775,16.95,4562,14.03,47,1.35
1995,653,5431,12.02,3765,17.34,4599,14.2,49,1.33
1996,712,5510,12.92,3908,18.22,4689,15.18,49,1.44
1997,674,5604,12.03,4010,16.81,4807,14.02,51,1.32
1998,662,5688,11.64,4079,16.23,4930,13.43,52,1.27
1999,637,5756,11.07,4129,15.43,4969,12.82,53,1.21
2000,631,5911,10.68,4155,15.19,5235,12.05,53,1.18
2001,649,5986,10.84,4238,15.31,5303,12.24,54,1.21
2002,658,6052,10.87,4381,15.02,5471,12.03,55,1.2
2003,600,6104,9.83,4407,13.61,5521,10.87,55,1.09
2004,567,6179,9.18,4505,12.59,5695,9.96,56,1.02
2005,649,6257,10.37,4682,13.86,5771,11.25,55,1.17
2006,633,6371,9.94,4791,13.21,5884,10.76,57,1.12
2007,571,6462,8.84,4880,11.7,5965,9.57,57,1
2008,521,6562,7.94,4954,10.52,6215,8.38,56,0.94
2009,492,6667,7.38,5027,9.79,5810,8.47,56,0.87
2010,460,6744,6.82,5106,9.01,4901,9.39,57,0.8
2011,454,6821,6.66,5179,8.77,5881,7.72,57,0.8
2012,438,6895,6.35,5228,8.38,5850,7.49,57,0.77
2013,436,6971,6.25,5302,8.22,6393,6.82,57,0.76
