Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,712,5096,13.97,3554,20.03,4076,17.47,50,1.42
1995,745,5137,14.5,3602,20.69,4162,17.9,51,1.45
1996,761,5174,14.71,3724,20.44,4212,18.07,53,1.44
1997,725,5200,13.94,3672,19.74,4423,16.39,54,1.33
1998,714,5222,13.67,3710,19.25,4374,16.33,57,1.26
1999,745,5250,14.19,3733,19.96,4459,16.71,57,1.31
2000,799,5374,14.87,3770,21.19,4545,17.58,57,1.4
2001,763,5407,14.11,3667,20.8,4682,16.29,57,1.33
2002,803,5445,14.75,3765,21.33,4762,16.86,59,1.37
2003,848,5479,15.48,3766,22.52,4888,17.35,60,1.42
2004,792,5514,14.36,3910,20.25,4938,16.04,60,1.31
2005,815,5546,14.69,3993,20.41,5029,16.21,60,1.36
2006,724,5578,12.98,4049,17.88,5243,13.81,59,1.22
2007,756,5611,13.47,4066,18.59,5343,14.15,59,1.27
2008,605,5641,10.73,4076,14.84,5310,11.39,57,1.05
2009,561,5669,9.9,4105,13.67,5240,10.71,58,0.96
2010,572,5690,10.05,4133,13.84,5291,10.81,59,0.96
2011,582,5709,10.19,4147,14.03,5244,11.1,59,0.99
2012,615,5725,10.74,4057,15.16,5215,11.79,59,1.04
2013,543,5743,9.46,4171,13.02,5339,10.17,59,0.91
