Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,356,1818,19.58,1298,27.42,1479,24.08,17,2.08
1995,376,1821,20.65,1305,28.82,1444,26.04,17,2.16
1996,348,1819,19.13,1274,27.31,1448,24.03,18,1.97
1997,381,1816,20.98,1285,29.65,1373,27.76,18,2.08
1998,354,1812,19.54,1281,27.64,1400,25.28,19,1.9
1999,395,1807,21.86,1274,31.01,1399,28.24,19,2.08
2000,411,1807,22.74,1347,30.51,1468,28,19,2.14
2001,376,1801,20.87,1317,28.55,1480,25.41,20,1.91
2002,439,1805,24.32,1325,33.13,1494,29.39,20,2.19
2003,394,1812,21.74,1272,30.97,1428,27.59,20,1.96
2004,410,1816,22.57,1292,31.73,1416,28.96,20,2.02
2005,374,1820,20.54,1328,28.17,1369,27.31,21,1.82
2006,410,1828,22.43,1335,30.7,1482,27.67,21,1.96
2007,432,1834,23.55,1359,31.8,1459,29.61,21,2.1
2008,378,1840,20.54,1361,27.78,1451,26.05,21,1.82
2009,357,1848,19.32,1329,26.86,1462,24.43,20,1.82
2010,315,1854,16.99,1206,26.12,1484,21.22,19,1.64
2011,338,1855,18.22,1199,28.19,1458,23.18,19,1.78
2012,339,1857,18.26,1242,27.3,1459,23.24,19,1.76
2013,332,1854,17.9,1177,28.2,1453,22.84,19,1.73
