Year,Fatalities,Resident Population (Thousands),"Fatality Rate per 100,000 Population",Licensed Drivers (Thousands),"Fatality Rate per 100,000 Licensed Drivers",Registered Motor Vehicles (Thousands),"Fatality Rate per 100,000 Registered Vehicles",Vehicle Miles Traveled (Billions),Fatality Rate per 100 Million VMT
,,,,,,,,,
1994,144,475,30.32,342,42.14,526,27.39,7,2.15
1995,170,478,35.53,346,49.09,618,27.51,7,2.41
1996,143,480,29.79,343,41.68,566,25.29,7,1.94
1997,137,480,28.54,353,38.84,569,24.09,8,1.81
1998,154,480,32.08,359,42.88,575,26.79,8,1.92
1999,189,480,39.41,363,52,544,34.74,8,2.42
2000,152,494,30.75,371,41,605,25.13,8,1.88
2001,186,495,37.6,371,50.17,594,31.33,9,2.16
2002,176,500,35.2,374,47.01,628,28.04,9,1.95
2003,165,503,32.77,378,43.65,648,25.48,9,1.79
2004,164,509,32.21,380,43.14,672,24.42,9,1.77
2005,170,514,33.06,383,44.42,680,25.01,9,1.88
2006,195,523,37.31,391,49.93,681,28.64,9,2.07
2007,150,535,28.04,398,37.66,690,21.73,9,1.6
2008,159,546,29.12,404,39.31,695,22.89,9,1.68
2009,134,560,23.93,411,32.62,682,19.64,10,1.4
2010,155,564,27.46,419,36.95,694,22.34,9,1.66
2011,135,567,23.8,422,32,798,16.91,9,1.46
2012,123,577,21.33,422,29.18,799,15.39,9,1.33
2013,87,583,14.93,421,20.64,831,10.48,9,0.93
